,Name,HSP.20,HSP.40,HSP.60,HSP.70,HSP.90,HSP.100,sum_HSP,total_number_protein
380,Glossina_pallidipes,9,35,14,17,4,6,206,19250
381,Glossina_palpalis,9,30,11,16,4,8,70,19953
382,Glycine_max,83,199,51,51,24,59,101,54150
383,Glycine_soja,33,88,20,30,15,20,99,26096
384,Gonapodya_prolifera,4,32,9,12,3,10,104,13797
385,Gongylonema_pulchrum,15,33,27,13,8,5,173,26907
386,Gonium_pectorale,7,42,15,16,3,16,486,16224
387,Gorilla_gorilla,8,44,18,13,11,10,298,20979
388,Gossypium_arboreum,10,78,28,21,9,27,40,30420
389,Gossypium_hirsutum,82,214,69,50,22,49,66,60811
390,Gossypium_raimondii,52,127,39,32,16,32,62,38037
391,Gregarina_niphandrodes,0,17,10,8,2,3,143,6341
392,Grifola_frondosa,8,27,11,8,2,10,36,14985
393,Grosmannia_clavigera,1,28,10,11,2,10,69,8311
394,Guillardia_theta,11,82,11,23,6,10,125,24567
395,Gymnopus_luxurians,2,17,8,5,1,3,86,14578
396,Habropoda_laboriosa,9,27,11,8,4,10,41,12781
397,Haemonchus_contortus,42,43,17,9,5,9,69,21201
398,Haemonchus_placei,31,28,11,7,3,6,43,21889
399,Haliaeetus_albicilla,4,19,6,3,3,6,45,8357
400,Hammondia_hammondi,5,31,11,7,4,11,37,8002
401,Hanseniaspora_opuntiae,0,15,10,8,1,9,45,4166
402,Hanseniaspora_osmophila,0,17,10,8,1,9,61,4652
403,Hanseniaspora_uvarum,0,13,9,6,1,8,72,3010
404,Hanseniaspora_valbyensis,0,13,12,7,1,12,72,4754
405,Harpegnathos_saltator,5,27,11,6,3,9,72,15029
406,Hebeloma_cylindrosporum,8,29,11,15,2,7,74,15324
407,Helicosporidium_sp.,3,29,18,6,3,13,19,6029
408,Heligmosomoides_polygyrus,16,23,17,8,3,5,63,23052
409,Helobdella_robusta,6,37,11,9,3,8,153,23328
410,Hepatospora_eriocheir,0,3,8,4,0,4,49,2569
411,Heterobasidion_irregulare,4,32,10,9,2,6,34,13148
412,Heterocephalus_glaber,7,56,28,40,15,7,109,21445
413,Heterorhabditis_bacteriophora,6,19,9,9,2,4,261,20833
414,Hirsutella_minnesotensis,3,14,4,8,0,5,106,9072
415,Homo_sapiens,9,45,16,16,11,12,81,21009
